#{"t_start": 1761180064.0879157, "env_id": "None"}
r,l,t
1355.0465,1307,1.280298
117.1791,515,1.449244
448.10403,527,2.649294
1042.8038,934,2.949391
590.9287,1159,4.320027
-11.566005,279,4.410266
-35.21887,1548,5.912655
280.87,1824,6.516935
107.69304,420,7.670812
601.86646,1156,8.031699
163.6533,1262,9.458751
-16.755035,1014,9.785515
149.15625,3000,12.802819
1794.6375,3000,14.804594
1540.2266,3000,17.829934
144.1954,994,18.152491
148.21927,2639,21.042598
337.75992,1262,28.027314
964.0381,600,28.207334
710.8513,3000,31.181401
814.57886,2637,32.962755
650.90173,436,33.096909
1485.889,2542,35.848537
393.956,597,36.030495
1113.5859,761,36.257938
137.13745,3000,39.113767
801.3325,3000,41.025806
774.51495,3000,43.928174
2298.7927,3000,45.875262
168.26637,996,47.191198
637.35455,494,47.341501
787.55457,3000,52.523525
2284.5789,2477,55.336685
360.48386,442,55.474312
761.33887,3000,57.396549
60.773758,3000,60.32416
-7.46,172,60.37605
-0.30597925,644,60.571475
52.5749,216,60.634901
-7.1249995,118,60.671641
149.21313,260,60.752469
175.37311,347,61.884524
227.60216,195,61.945236
-8.490999,227,62.016872
29.485893,163,62.064737
3.2190185,221,62.130869
355.1497,493,62.278932
246.3492,185,62.333599
-7.5509996,174,62.387292
426.021,437,63.534138
16.19505,377,63.645281
-8.389999,174,63.702229
46.2619,160,63.749199
-4.1000314,225,63.816444
49.88988,161,63.863465
3.2650094,114,63.897895
147.78316,679,64.106105
-10.509999,431,65.243783
117.02802,259,65.328989
1409.7051,3000,67.28548
1933.3527,2024,68.919292
2193.9736,1356,70.350033
1046.5115,720,74.488542
107.816025,3000,77.463519
257.13947,3000,79.403261
34.39452,3000,82.449587
1007.38,511,82.604604
798.1371,702,82.814392
998.31226,1142,84.189737
1935.1857,1334,84.60386
-16.538029,648,85.840191
141.17209,200,85.90362
829.05005,1678,87.454704
3421.1775,2467,89.284311
348.8221,3000,91.257577
288.1192,611,92.486639
2674.236,3000,94.427988
1705.0164,1040,100.979644
717.8705,474,101.119565
1989.1075,1004,101.432935
742.1543,549,102.590442
448.99863,3000,104.491363
153.19629,1517,105.93399
940.4454,1921,107.542816
880.0203,685,107.748183
263.6092,1194,109.112174
541.35156,3000,111.023069
-6.7980285,857,112.308207
-7.5799994,174,112.361882
826.6475,505,112.515679
335.24585,492,112.660698
-0.94005346,331,112.761563
23.093012,272,112.844876
234.10802,3000,115.714823
171.98232,889,115.978656
1017.8735,641,117.179872
540.8446,428,117.310153
1992.9379,3000,119.214749
1840.918,924,126.111189
101.19614,1142,126.463359
2220.9783,1395,127.896792
647.4153,560,128.068988
2147.8936,2894,130.950925
1238.9846,3000,132.852293
328.3905,3000,135.777496
518.0639,256,135.859641
-11.045126,2021,137.485304
634.24603,3000,139.427084
-6.0660295,486,139.573867
612.3891,348,140.67644
-17.532017,651,140.871709
459.01947,3000,142.89724
1517.5492,1961,144.507001
352.5742,880,151.50638
829.51654,578,151.679986
964.6211,3000,154.607853
2371.2927,3000,156.498285
1190.9841,2683,158.290314
1581.4143,1731,159.826442
693.2508,1050,161.13838
2020.471,3000,163.031249
1023.3102,1044,164.381551
1608.2114,3000,166.276208
1353.8743,677,166.479655
1074.2845,1786,168.024192
1034.5272,534,169.186549
2494.5154,1447,169.630448
717.0513,2436,177.244121
168.57877,2315,179.94485
1338.3618,755,180.18273
360.0566,2556,181.931974
1078.6678,670,183.15743
2579.3562,1596,183.639319
344.6521,3000,186.494587
431.34262,325,186.600849
633.11896,3000,188.560882
187.08095,3000,191.565358
2222.5388,1656,193.076383
740.1177,3000,195.041065
813.9617,3000,203.006793
1562.4844,1911,204.639485
1078.0696,3000,206.603881
152.3911,410,206.742387
477.56796,3000,209.692788
-13.714033,855,209.970362
571.01495,668,210.196771
1492.1632,1295,211.601899
-12.572012,330,211.707232
278.29886,1528,213.203208
1748.7825,3000,215.162409
105.62733,684,216.411709
-3.6150951,3000,218.417001
1441.6428,531,219.629007
1512.2173,1299,220.066604
-38.045456,3000,228.710598
530.39246,469,228.862787
749.46936,3000,230.889302
-36.382027,3000,233.937077
-8.768,539,234.107946
1175.7473,841,234.37508
670.41846,319,235.528853
715.1373,525,235.696827
2437.125,1530,237.210839
758.66644,1434,237.683872
173.53516,199,237.747648
897.3707,847,239.133683
675.7614,388,239.280031
1026.7467,2175,241.446127
-23.145945,3000,244.914623
627.4665,619,245.114234
911.9039,542,245.305999
1632.751,2132,247.310065
2219.2527,2474,249.51517
1211.0128,3000,259.141151
857.4367,1815,261.063725
909.3591,3000,263.252728
748.0581,1390,264.906745
88.93598,212,264.972757
4.990188,960,265.270299
594.7239,3000,268.783991
399.5822,3000,271.133639
672.58826,615,272.553469
-55.4117,3000,274.774835
1275.7937,1641,276.661039
-39.45237,3000,278.844181
309.06192,3000,287.390078
9.880701,3000,289.63366
520.72394,536,291.027074
537.76276,308,291.11841
1076.261,809,291.361793
183.10736,563,291.530533
-22.573908,3000,295.116954
314.96075,1467,296.785268
943.7155,3000,298.720429
238.10638,664,298.919682
372.0479,3000,301.898743
-4.052954,3000,303.871735
-7.9509997,121,303.909977
1075.5007,575,305.113071
2344.3306,1459,305.553461
1672.3992,869,306.849999
152.31218,251,306.923321
404.35202,2027,313.326594
40.154285,3000,315.240714
513.0136,3000,318.190584
1894.9027,1668,319.738157
1003.4754,466,319.883421
1809.0105,1258,320.260174
896.5051,635,321.46655
730.5076,523,321.62303
319.52893,395,321.742198
2306.3948,1244,323.141698
289.95956,3000,325.08621
-2.9530163,116,325.121714
803.56775,3000,328.091572
436.30524,3000,330.08091
679.5216,2417,336.911278
-54.35952,3000,339.912619
2105.7605,1541,341.356328
128.36038,3000,343.240109
-69.132095,3000,346.172907
167.67514,307,346.274464
57.804443,2376,348.000158
1030.7032,1194,348.368367
553.1804,3000,351.325303
-11.868011,439,351.456606
1265.8071,587,351.635418
2118.8667,1245,353.064434
-6.558998,174,353.119787
113.053085,309,353.221185
165.957,717,354.517805
876.0033,747,354.742451
882.42346,554,354.914653
123.06668,3000,361.765359
619.69617,383,361.885124
-8.794,121,361.922787
188.67313,1729,363.459046
171.68025,996,363.756945
1033.1713,1421,365.212155
299.336,3000,367.123478
56.84442,3000,370.025925
1174.3645,3000,371.950426
417.50314,537,373.123229
393.0299,2958,375.04764
-7.5859966,646,375.247756
1204.734,819,376.499637
933.98224,613,376.687113
127.832466,3000,379.599016
1537.099,1037,379.931834
2393.9675,1745,386.682628
2030.4062,3000,388.631954
499.81305,249,389.69292
486.02194,304,389.78698
557.70526,403,389.919194
910.02405,3000,391.831417
918.9078,1554,393.293274
486.14365,3000,396.179182
1062.4056,3000,398.080268
1143.6556,1177,399.445501
491.42587,239,399.516336
446.18195,529,399.671302
-23.861752,3000,401.608581
1328.6425,2639,404.414737
1003.31757,779,404.655354
543.70514,436,404.794237
3.1772876,1842,410.657156
1235.5913,2090,412.292736
2494.0557,1152,413.642931
713.4,3000,415.563066
43.831158,2424,417.293876
287.58508,457,418.432873
726.55774,544,418.59462
155.22398,3000,420.529634
314.99612,3000,423.440719
361.2338,3000,425.378648
2545.5513,1602,426.933444
948.2694,881,428.223732
1120.1492,3000,433.965939
70.39912,428,434.108941
1083.0743,3000,437.073284
-7.385,68,437.095179
883.2769,3000,439.057439
110.20806,261,439.140571
1507.6141,1117,440.488469
1393.4601,1057,440.840686
851.30994,2835,443.855835
1097.4487,2026,445.494954
364.4108,3000,447.481508
-8.441999,119,447.521388
1376.7975,2975,450.465111
981.4415,1314,450.886273
1571.242,896,452.202043
142.84335,3000,458.93434
657.73737,388,459.051062
1368.1255,1418,460.501791
591.9655,386,460.615965
1055.8551,555,461.798492
2759.3293,1848,463.34844
905.05945,481,463.49764
433.92972,904,463.780789
302.6899,341,463.880664
94.72812,3000,466.779008
484.9279,3000,468.690243
551.09705,3000,471.619441
599.30255,1434,472.078496
1352.5642,3000,475.024171
562.5354,3000,476.960642
574.11395,339,478.083669
994.9221,861,478.348203
1708.6141,1173,484.037444
1853.1807,3000,485.96791
782.23224,3000,487.903354
-12.706009,280,488.980071
953.4525,3000,490.889425
1981.9276,2241,492.576227
778.1774,1300,494.012256
892.1272,583,494.186306
1552.1362,3000,497.100853
1327.2804,3000,499.037859
954.24023,2123,500.661781
242.66061,3000,503.603331
235.06119,306,508.333596
