#{"t_start": 1761260553.0803988, "env_id": "None"}
r,l,t,page
4.99,1,1.915656,done
4.99,1,2.581333,done
4.99,1,3.242402,done
4.99,1,3.918733,done
4.99,1,4.570084,done
4.99,1,5.223526,done
4.99,1,5.876957,done
4.99,1,6.532637,done
4.99,1,7.186949,done
4.99,1,7.842025,done
4.99,1,8.550591,done
4.99,1,9.206422,done
4.99,1,9.890125,done
4.99,1,10.5489,done
4.99,1,11.204159,done
4.99,1,11.861884,done
4.99,1,12.543802,done
4.99,1,13.199445,done
4.99,1,13.86532,done
4.99,1,14.528733,done
4.99,1,15.216401,done
4.99,1,15.89066,done
4.99,1,16.569208,done
4.99,1,17.234337,done
4.99,1,17.892686,done
4.99,1,18.603034,done
4.99,1,19.261102,done
4.99,1,19.944874,done
4.99,1,20.61666,done
4.99,1,21.284664,done
4.99,1,22.037233,done
4.99,1,22.734221,done
4.99,1,23.431057,done
4.99,1,24.109674,done
4.99,1,24.80011,done
4.99,1,25.467901,done
4.99,1,26.131848,done
4.99,1,26.81228,done
4.99,1,27.488292,done
4.99,1,28.163016,done
4.99,1,28.882284,done
4.99,1,29.559224,done
4.99,1,30.232795,done
4.99,1,30.921096,done
4.99,1,31.58757,done
4.99,1,32.283342,done
4.99,1,32.963926,done
4.99,1,33.643229,done
4.99,1,34.319677,done
4.99,1,34.995769,done
4.99,1,35.745374,done
4.99,1,36.417847,done
4.99,1,37.093065,done
4.99,1,37.772061,done
4.99,1,38.464145,done
4.99,1,39.128166,done
4.99,1,39.811398,done
4.99,1,40.492275,done
4.99,1,41.160697,done
4.99,1,41.822265,done
4.99,1,42.548778,done
4.99,1,43.215332,done
4.99,1,43.937028,done
4.99,1,44.619959,done
4.99,1,45.334352,done
4.99,1,46.00574,done
4.99,1,46.698077,done
4.99,1,47.39158,done
4.99,1,48.069118,done
4.99,1,48.770283,done
4.99,1,49.516046,done
4.99,1,50.186002,done
4.99,1,50.8537,done
4.99,1,51.532387,done
4.99,1,52.20103,done
4.99,1,52.878244,done
4.99,1,53.57775,done
4.99,1,54.243206,done
4.99,1,54.92033,done
4.99,1,55.604423,done
4.99,1,56.318186,done
4.99,1,56.986556,done
4.99,1,57.671355,done
4.99,1,58.338625,done
4.99,1,59.013666,done
4.99,1,59.676958,done
4.99,1,60.346283,done
4.99,1,61.025159,done
4.99,1,61.699182,done
4.99,1,62.37141,done
4.99,1,63.100626,done
4.99,1,63.799995,done
4.99,1,64.514032,done
4.99,1,65.20214,done
4.99,1,65.880387,done
4.99,1,66.5625,done
4.99,1,67.229749,done
4.99,1,67.923938,done
4.99,1,68.613618,done
4.99,1,69.290861,done
